dataset,scoring,config,t_rag,retrieval_pct,exact_match,edit_similarity,identifier_f1,hall_A4B2,hall_A4,latency_ms
crosscodelongeval_function,body,C1_no_retrieve,,0.0,0.0394,0.3973,0.5201,0.066,0.9262,153.3163
crosscodelongeval_function,body,C2_always_retrieve,,100.0,0.3496,0.7389,0.8219,0.0756,0.7148,185.6536
crosscodelongeval_function,body,C3_card,0.05,0.0,0.0394,0.3973,0.5201,0.066,0.9262,153.3163
crosscodelongeval_function,body,C4_cascade,0.05,7.94,0.0634,0.4236,0.5452,0.0134,0.9048,168.0207
crosscodelongeval_function,body,C3_card,0.1,0.02,0.0396,0.3975,0.5203,0.066,0.9262,153.3539
crosscodelongeval_function,body,C4_cascade,0.1,7.96,0.0636,0.4238,0.5454,0.0134,0.9048,168.0584
crosscodelongeval_function,body,C3_card,0.15,0.08,0.0398,0.398,0.5208,0.066,0.9264,153.4721
crosscodelongeval_function,body,C4_cascade,0.15,8.02,0.0638,0.4243,0.5459,0.0134,0.905,168.1766
crosscodelongeval_function,body,C3_card,0.2,2.12,0.0448,0.4062,0.5294,0.0652,0.9194,157.2473
crosscodelongeval_function,body,C4_cascade,0.2,9.72,0.0676,0.4313,0.5532,0.0144,0.899,171.3178
crosscodelongeval_function,body,C3_card,0.25,38.5,0.1588,0.547,0.6606,0.0686,0.826,224.8875
crosscodelongeval_function,body,C4_cascade,0.25,42.82,0.1714,0.5605,0.6727,0.0398,0.8152,232.8734
crosscodelongeval_function,body,C3_card,0.3,74.62,0.266,0.6671,0.7654,0.0736,0.7466,291.8675
crosscodelongeval_function,body,C4_cascade,0.3,76.14,0.2706,0.6719,0.7693,0.0638,0.7428,294.6871
crosscodelongeval_function,body,C3_card,0.35,91.44,0.3258,0.7187,0.806,0.0736,0.7142,323.0589
crosscodelongeval_function,body,C4_cascade,0.35,91.74,0.3264,0.7194,0.8066,0.072,0.7142,323.6164
crosscodelongeval_function,body,C3_card,0.4,96.76,0.3394,0.7308,0.8164,0.075,0.7116,332.9448
crosscodelongeval_function,body,C4_cascade,0.4,96.82,0.3396,0.731,0.8166,0.0746,0.7116,333.057
crosscodelongeval_function,body,C3_card,0.45,98.4,0.3442,0.7341,0.8186,0.075,0.7126,335.9871
crosscodelongeval_function,body,C4_cascade,0.45,98.42,0.3444,0.7342,0.8188,0.0748,0.7126,336.0243
crosscodelongeval_function,body,C3_card,0.5,99.1,0.347,0.7364,0.8201,0.0754,0.7128,337.2748
crosscodelongeval_function,body,C4_cascade,0.5,99.12,0.3472,0.7365,0.8203,0.0752,0.7128,337.3119
crosscodelongeval_function,body,C3_card,0.55,99.44,0.3484,0.7376,0.821,0.0752,0.7132,337.9158
crosscodelongeval_function,body,C4_cascade,0.55,99.44,0.3484,0.7376,0.821,0.0752,0.7132,337.9158
crosscodelongeval_function,body,C3_card,0.6,99.62,0.3488,0.7382,0.8215,0.0754,0.7138,338.2539
crosscodelongeval_function,body,C4_cascade,0.6,99.62,0.3488,0.7382,0.8215,0.0754,0.7138,338.2539
crosscodelongeval_function,body,C3_card,0.65,99.68,0.3488,0.7382,0.8215,0.0754,0.714,338.3704
crosscodelongeval_function,body,C4_cascade,0.65,99.68,0.3488,0.7382,0.8215,0.0754,0.714,338.3704
crosscodelongeval_function,body,C3_card,0.7,99.78,0.3492,0.7387,0.8218,0.0754,0.7144,338.5572
crosscodelongeval_function,body,C4_cascade,0.7,99.78,0.3492,0.7387,0.8218,0.0754,0.7144,338.5572
crosscodelongeval_function,body,C3_card,0.75,99.84,0.3492,0.7388,0.8219,0.0756,0.7148,338.67
crosscodelongeval_function,body,C4_cascade,0.75,99.84,0.3492,0.7388,0.8219,0.0756,0.7148,338.67
crosscodelongeval_function,body,C3_card,0.8,99.9,0.3494,0.7388,0.8219,0.0756,0.7148,338.7791
crosscodelongeval_function,body,C4_cascade,0.8,99.9,0.3494,0.7388,0.8219,0.0756,0.7148,338.7791
crosscodelongeval_function,body,C3_card,0.85,99.94,0.3494,0.7388,0.8219,0.0756,0.7148,338.8537
crosscodelongeval_function,body,C4_cascade,0.85,99.94,0.3494,0.7388,0.8219,0.0756,0.7148,338.8537
crosscodelongeval_function,body,C3_card,0.9,100.0,0.3496,0.7389,0.8219,0.0756,0.7148,338.9698
crosscodelongeval_function,body,C4_cascade,0.9,100.0,0.3496,0.7389,0.8219,0.0756,0.7148,338.9698
crosscodelongeval_function,body,C3_card,0.95,100.0,0.3496,0.7389,0.8219,0.0756,0.7148,338.9698
crosscodelongeval_function,body,C4_cascade,0.95,100.0,0.3496,0.7389,0.8219,0.0756,0.7148,338.9698
crosscodelongeval_function,full,C1_no_retrieve,,0.0,0.0126,0.2874,0.4447,0.066,0.9262,153.3163
crosscodelongeval_function,full,C2_always_retrieve,,100.0,0.1594,0.4716,0.6466,0.0756,0.7148,185.6536
crosscodelongeval_function,full,C3_card,0.05,0.0,0.0126,0.2874,0.4447,0.066,0.9262,153.3163
crosscodelongeval_function,full,C4_cascade,0.05,7.94,0.0248,0.3025,0.4624,0.0134,0.9048,168.0207
crosscodelongeval_function,full,C3_card,0.1,0.02,0.0126,0.2874,0.4447,0.066,0.9262,153.3539
crosscodelongeval_function,full,C4_cascade,0.1,7.96,0.0248,0.3025,0.4624,0.0134,0.9048,168.0584
crosscodelongeval_function,full,C3_card,0.15,0.08,0.0128,0.2878,0.4452,0.066,0.9264,153.4721
crosscodelongeval_function,full,C4_cascade,0.15,8.02,0.025,0.3028,0.4628,0.0134,0.905,168.1766
crosscodelongeval_function,full,C3_card,0.2,2.12,0.0156,0.2933,0.4522,0.0652,0.9194,157.2473
crosscodelongeval_function,full,C4_cascade,0.2,9.72,0.0272,0.3076,0.4689,0.0144,0.899,171.3178
crosscodelongeval_function,full,C3_card,0.25,38.5,0.067,0.3671,0.5428,0.0686,0.826,224.8875
crosscodelongeval_function,full,C4_cascade,0.25,42.82,0.0734,0.3749,0.5508,0.0398,0.8152,232.8734
crosscodelongeval_function,full,C3_card,0.3,74.62,0.1188,0.4355,0.6138,0.0736,0.7466,291.8675
crosscodelongeval_function,full,C4_cascade,0.3,76.14,0.1212,0.4383,0.6164,0.0638,0.7428,294.6871
crosscodelongeval_function,full,C3_card,0.35,91.44,0.149,0.466,0.6413,0.0736,0.7142,323.0589
crosscodelongeval_function,full,C4_cascade,0.35,91.74,0.1492,0.466,0.6412,0.072,0.7142,323.6164
crosscodelongeval_function,full,C3_card,0.4,96.76,0.1544,0.47,0.6454,0.075,0.7116,332.9448
crosscodelongeval_function,full,C4_cascade,0.4,96.82,0.1544,0.4699,0.6455,0.0746,0.7116,333.057
crosscodelongeval_function,full,C3_card,0.45,98.4,0.1568,0.4697,0.6452,0.075,0.7126,335.9871
crosscodelongeval_function,full,C4_cascade,0.45,98.42,0.1568,0.4696,0.6452,0.0748,0.7126,336.0243
crosscodelongeval_function,full,C3_card,0.5,99.1,0.1584,0.4707,0.646,0.0754,0.7128,337.2748
crosscodelongeval_function,full,C4_cascade,0.5,99.12,0.1584,0.4707,0.646,0.0752,0.7128,337.3119
crosscodelongeval_function,full,C3_card,0.55,99.44,0.1586,0.471,0.6464,0.0752,0.7132,337.9158
crosscodelongeval_function,full,C4_cascade,0.55,99.44,0.1586,0.471,0.6464,0.0752,0.7132,337.9158
crosscodelongeval_function,full,C3_card,0.6,99.62,0.159,0.4715,0.6466,0.0754,0.7138,338.2539
crosscodelongeval_function,full,C4_cascade,0.6,99.62,0.159,0.4715,0.6466,0.0754,0.7138,338.2539
crosscodelongeval_function,full,C3_card,0.65,99.68,0.159,0.4714,0.6465,0.0754,0.714,338.3704
crosscodelongeval_function,full,C4_cascade,0.65,99.68,0.159,0.4714,0.6465,0.0754,0.714,338.3704
crosscodelongeval_function,full,C3_card,0.7,99.78,0.1592,0.4716,0.6466,0.0754,0.7144,338.5572
crosscodelongeval_function,full,C4_cascade,0.7,99.78,0.1592,0.4716,0.6466,0.0754,0.7144,338.5572
crosscodelongeval_function,full,C3_card,0.75,99.84,0.159,0.4714,0.6465,0.0756,0.7148,338.67
crosscodelongeval_function,full,C4_cascade,0.75,99.84,0.159,0.4714,0.6465,0.0756,0.7148,338.67
crosscodelongeval_function,full,C3_card,0.8,99.9,0.1592,0.4715,0.6466,0.0756,0.7148,338.7791
crosscodelongeval_function,full,C4_cascade,0.8,99.9,0.1592,0.4715,0.6466,0.0756,0.7148,338.7791
crosscodelongeval_function,full,C3_card,0.85,99.94,0.1592,0.4715,0.6466,0.0756,0.7148,338.8537
crosscodelongeval_function,full,C4_cascade,0.85,99.94,0.1592,0.4715,0.6466,0.0756,0.7148,338.8537
crosscodelongeval_function,full,C3_card,0.9,100.0,0.1594,0.4716,0.6466,0.0756,0.7148,338.9698
crosscodelongeval_function,full,C4_cascade,0.9,100.0,0.1594,0.4716,0.6466,0.0756,0.7148,338.9698
crosscodelongeval_function,full,C3_card,0.95,100.0,0.1594,0.4716,0.6466,0.0756,0.7148,338.9698
crosscodelongeval_function,full,C4_cascade,0.95,100.0,0.1594,0.4716,0.6466,0.0756,0.7148,338.9698
