dataset,scoring,config,t_rag,retrieval_pct,exact_match,edit_similarity,identifier_f1,hall_A4B2,hall_A4,latency_ms
crosscodelongeval_chunk,lines,C1_no_retrieve,,0.0,0.3944,0.7066,0.6904,0.0164,0.5658,102.1004
crosscodelongeval_chunk,lines,C2_always_retrieve,,100.0,0.863,0.9349,0.9366,0.0148,0.3838,174.192
crosscodelongeval_chunk,lines,C3_card,0.05,0.0,0.3944,0.7066,0.6904,0.0164,0.5658,102.1004
crosscodelongeval_chunk,lines,C4_cascade,0.05,2.02,0.4056,0.7131,0.6982,0.0046,0.5606,105.6574
crosscodelongeval_chunk,lines,C3_card,0.1,0.0,0.3944,0.7066,0.6904,0.0164,0.5658,102.1004
crosscodelongeval_chunk,lines,C4_cascade,0.1,2.02,0.4056,0.7131,0.6982,0.0046,0.5606,105.6574
crosscodelongeval_chunk,lines,C3_card,0.15,0.0,0.3944,0.7066,0.6904,0.0164,0.5658,102.1004
crosscodelongeval_chunk,lines,C4_cascade,0.15,2.02,0.4056,0.7131,0.6982,0.0046,0.5606,105.6574
crosscodelongeval_chunk,lines,C3_card,0.2,0.0,0.3944,0.7066,0.6904,0.0164,0.5658,102.1004
crosscodelongeval_chunk,lines,C4_cascade,0.2,2.02,0.4056,0.7131,0.6982,0.0046,0.5606,105.6574
crosscodelongeval_chunk,lines,C3_card,0.25,0.0,0.3944,0.7066,0.6904,0.0164,0.5658,102.1004
crosscodelongeval_chunk,lines,C4_cascade,0.25,2.02,0.4056,0.7131,0.6982,0.0046,0.5606,105.6574
crosscodelongeval_chunk,lines,C3_card,0.3,2.14,0.4088,0.7179,0.7029,0.0166,0.5626,105.8088
crosscodelongeval_chunk,lines,C4_cascade,0.3,4.16,0.42,0.7244,0.7107,0.0048,0.5574,109.3657
crosscodelongeval_chunk,lines,C3_card,0.35,16.9,0.517,0.7793,0.7712,0.0152,0.4978,131.5227
crosscodelongeval_chunk,lines,C4_cascade,0.35,18.4,0.5256,0.7841,0.7771,0.0062,0.4936,134.1669
crosscodelongeval_chunk,lines,C3_card,0.4,50.02,0.7218,0.8758,0.8755,0.0134,0.3946,189.2572
crosscodelongeval_chunk,lines,C4_cascade,0.4,50.54,0.7248,0.8773,0.8773,0.0108,0.3932,190.171
crosscodelongeval_chunk,lines,C3_card,0.45,81.94,0.8298,0.9222,0.9242,0.014,0.3716,244.9101
crosscodelongeval_chunk,lines,C4_cascade,0.45,82.06,0.8304,0.9224,0.9246,0.0136,0.3712,245.1168
crosscodelongeval_chunk,lines,C3_card,0.5,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C4_cascade,0.5,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C3_card,0.55,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C4_cascade,0.55,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C3_card,0.6,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C4_cascade,0.6,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C3_card,0.65,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C4_cascade,0.65,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C3_card,0.7,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C4_cascade,0.7,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C3_card,0.75,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C4_cascade,0.75,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C3_card,0.8,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C4_cascade,0.8,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C3_card,0.85,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C4_cascade,0.85,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C3_card,0.9,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C4_cascade,0.9,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C3_card,0.95,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,lines,C4_cascade,0.95,100.0,0.863,0.9349,0.9366,0.0148,0.3838,276.2924
crosscodelongeval_chunk,full,C1_no_retrieve,,0.0,0.3042,0.5752,0.6275,0.0164,0.5658,102.1004
crosscodelongeval_chunk,full,C2_always_retrieve,,100.0,0.563,0.681,0.7534,0.0148,0.3838,174.192
crosscodelongeval_chunk,full,C3_card,0.05,0.0,0.3042,0.5752,0.6275,0.0164,0.5658,102.1004
