dataset,scoring,config,t_rag,retrieval_pct,exact_match,edit_similarity,identifier_f1,hall_A4B2,hall_A4,latency_ms
repoeval_function,body,C1_no_retrieve,,0.0,0.0462,0.3572,0.4826,0.1165,0.8044,1280.3566
repoeval_function,body,C2_always_retrieve,,100.0,0.3385,0.717,0.7841,0.0967,0.378,1247.7708
repoeval_function,body,C3_card,0.05,0.0,0.0462,0.3572,0.4826,0.1165,0.8044,1280.3566
repoeval_function,body,C4_cascade,0.05,13.8462,0.0835,0.3995,0.5217,0.0418,0.7473,1494.597
repoeval_function,body,C3_card,0.1,0.0,0.0462,0.3572,0.4826,0.1165,0.8044,1280.3566
repoeval_function,body,C4_cascade,0.1,13.8462,0.0835,0.3995,0.5217,0.0418,0.7473,1494.597
repoeval_function,body,C3_card,0.15,0.0,0.0462,0.3572,0.4826,0.1165,0.8044,1280.3566
repoeval_function,body,C4_cascade,0.15,13.8462,0.0835,0.3995,0.5217,0.0418,0.7473,1494.597
repoeval_function,body,C3_card,0.2,2.4176,0.0549,0.3687,0.4945,0.1165,0.789,1311.5212
repoeval_function,body,C4_cascade,0.2,15.8242,0.0923,0.4092,0.5312,0.044,0.7341,1519.0945
repoeval_function,body,C3_card,0.25,44.3956,0.1846,0.5414,0.6517,0.0945,0.5846,1854.6706
repoeval_function,body,C4_cascade,0.25,50.3297,0.2044,0.5584,0.6673,0.0725,0.5626,1941.3064
repoeval_function,body,C3_card,0.3,73.6264,0.2637,0.6398,0.7265,0.0989,0.4571,2232.3198
repoeval_function,body,C4_cascade,0.3,76.044,0.2703,0.6444,0.7316,0.0857,0.4484,2263.7968
repoeval_function,body,C3_card,0.35,90.3297,0.3121,0.6927,0.7676,0.0923,0.3912,2438.1911
repoeval_function,body,C4_cascade,0.35,90.5495,0.3121,0.6927,0.7676,0.0923,0.3912,2438.6762
repoeval_function,body,C3_card,0.4,95.6044,0.3275,0.7055,0.7773,0.0945,0.3802,2490.8809
repoeval_function,body,C4_cascade,0.4,95.6044,0.3275,0.7055,0.7773,0.0945,0.3802,2490.8809
repoeval_function,body,C3_card,0.45,98.2418,0.3363,0.7115,0.7801,0.0945,0.3802,2514.0855
repoeval_function,body,C4_cascade,0.45,98.2418,0.3363,0.7115,0.7801,0.0945,0.3802,2514.0855
repoeval_function,body,C3_card,0.5,98.6813,0.3341,0.711,0.7799,0.0967,0.3824,2521.8424
repoeval_function,body,C4_cascade,0.5,98.6813,0.3341,0.711,0.7799,0.0967,0.3824,2521.8424
repoeval_function,body,C3_card,0.55,99.3407,0.3363,0.7129,0.7809,0.0967,0.3802,2523.8728
repoeval_function,body,C4_cascade,0.55,99.3407,0.3363,0.7129,0.7809,0.0967,0.3802,2523.8728
repoeval_function,body,C3_card,0.6,99.5604,0.3363,0.7135,0.7812,0.0967,0.378,2524.5535
repoeval_function,body,C4_cascade,0.6,99.5604,0.3363,0.7135,0.7812,0.0967,0.378,2524.5535
repoeval_function,body,C3_card,0.65,99.7802,0.3385,0.7151,0.7826,0.0967,0.378,2526.7665
repoeval_function,body,C4_cascade,0.65,99.7802,0.3385,0.7151,0.7826,0.0967,0.378,2526.7665
repoeval_function,body,C3_card,0.7,100.0,0.3385,0.717,0.7841,0.0967,0.378,2528.1275
repoeval_function,body,C4_cascade,0.7,100.0,0.3385,0.717,0.7841,0.0967,0.378,2528.1275
repoeval_function,body,C3_card,0.75,100.0,0.3385,0.717,0.7841,0.0967,0.378,2528.1275
repoeval_function,body,C4_cascade,0.75,100.0,0.3385,0.717,0.7841,0.0967,0.378,2528.1275
repoeval_function,body,C3_card,0.8,100.0,0.3385,0.717,0.7841,0.0967,0.378,2528.1275
repoeval_function,body,C4_cascade,0.8,100.0,0.3385,0.717,0.7841,0.0967,0.378,2528.1275
repoeval_function,body,C3_card,0.85,100.0,0.3385,0.717,0.7841,0.0967,0.378,2528.1275
repoeval_function,body,C4_cascade,0.85,100.0,0.3385,0.717,0.7841,0.0967,0.378,2528.1275
repoeval_function,body,C3_card,0.9,100.0,0.3385,0.717,0.7841,0.0967,0.378,2528.1275
repoeval_function,body,C4_cascade,0.9,100.0,0.3385,0.717,0.7841,0.0967,0.378,2528.1275
repoeval_function,body,C3_card,0.95,100.0,0.3385,0.717,0.7841,0.0967,0.378,2528.1275
repoeval_function,body,C4_cascade,0.95,100.0,0.3385,0.717,0.7841,0.0967,0.378,2528.1275
repoeval_function,full,C1_no_retrieve,,0.0,0.0154,0.265,0.3844,0.0835,0.9297,1280.3566
repoeval_function,full,C2_always_retrieve,,100.0,0.156,0.4751,0.6014,0.0813,0.7187,1247.7708
repoeval_function,full,C3_card,0.05,0.0,0.0154,0.265,0.3844,0.0835,0.9297,1280.3566
repoeval_function,full,C4_cascade,0.05,9.2308,0.0242,0.2799,0.4025,0.0198,0.9143,1409.3705
repoeval_function,full,C3_card,0.1,0.0,0.0154,0.265,0.3844,0.0835,0.9297,1280.3566
repoeval_function,full,C4_cascade,0.1,9.2308,0.0242,0.2799,0.4025,0.0198,0.9143,1409.3705
repoeval_function,full,C3_card,0.15,0.0,0.0154,0.265,0.3844,0.0835,0.9297,1280.3566
repoeval_function,full,C4_cascade,0.15,9.2308,0.0242,0.2799,0.4025,0.0198,0.9143,1409.3705
repoeval_function,full,C3_card,0.2,2.4176,0.022,0.2728,0.3929,0.0813,0.9187,1311.5212
repoeval_function,full,C4_cascade,0.2,11.4286,0.0308,0.2876,0.4111,0.0198,0.9033,1435.8574
repoeval_function,full,C3_card,0.25,44.3956,0.0813,0.3777,0.5137,0.0725,0.811,1854.6706
repoeval_function,full,C4_cascade,0.25,48.5714,0.0857,0.3826,0.5197,0.0462,0.8066,1911.7189
